country,country_long,currency,capital_city,region,continent,demonym,latitude,longitude,agricultural_land,forest_area,land_area,rural_land,urban_land,central_government_debt_pct_gdp,expense_pct_gdp,gdp,inflation,self_employed_pct,tax_revenue_pct_gdp,unemployment_pct,vulnerable_employment_pct,electricity_access_pct,alternative_nuclear_energy_pct,electricty_production_coal_pct,electricty_production_hydroelectric_pct,electricty_production_gas_pct,electricty_production_nuclear_pct,electricty_production_oil_pct,electricty_production_renewable_pct,energy_imports_pct,fossil_energy_consumption_pct,renewable_energy_consumption_pct,co2_emissions,methane_emissions,nitrous_oxide_emissions,greenhouse_other_emissions,urban_population_under_5m,health_expenditure_pct_gdp,health_expenditure_capita,hospital_beds,hiv_incidence,suicide_rate,armed_forces,internally_displaced_persons,military_expenditure_pct_gdp,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,women_parliament_seats_pct,rural_population,urban_population,press,democracy_score,democracy_type,median_age,political_leader,title,urban_rural_ratio,gdp_per_land_area
São Tomé and Principe,Democratic Republic of São Tomé and Principe,São Tomé and Principe dobra,São Tomé,Tropical,Africa,Sao Tomean,-0.7548140403933564,-0.2381707942953916,-0.7595595173712133,-0.7554238811647396,-0.7947455966712732,-0.8018192686958681,-0.9021059389449622,-0.12932866391473954,-0.0441960328296896,-0.7346323317177786,1.457934231245146,0.7471192733827993,-0.1425322358618739,1.6115548424938402,0.7649137101096153,-0.4881591948670424,-0.4466543981204166,,,,,,,,0.0,40.75,141.1,11.5961,17.4342,73.815,1.55447,4.90671,106.924,2.9,0.05,1.5,1000.0,,,28.263,6.387,3.823,51.2041,68.0,-792,113972,113407,227380,14.5455,55128,172252,0.0,0.0,Unknown,14.6,Evaristo Carvalho,President,1.1250739090022206,0.9243616256506811
Saudi Arabia,Kingdom of Saudi Arabia,Saudi Arabian riyal,Riyadh,Tropical,Asia,Saudi Arabian,0.2529707114186321,0.3936947610618913,2.2293382572155744,-0.6637671238890134,2.15959437714864,2.097036536594738,1.4007003207926576,-0.12932866391473954,0.4571196184700407,2.083225254999904,-1.0447694878295724,-1.2766273015131582,-1.1579473607924762,-0.3169093989684265,-1.267943166549324,0.6272922884062033,-0.8651274596859919,0.0,0.0,55.8037,0.0,20.4063,0.000295564,-191.524,99.928,0.06,513556.0,102631.0,8249.2,98710.6,2.52384,5.53687,1291.13,2.24,,6.0,252000.0,,6.59448,17.473,2.864,2.427,100.0,77.0,-153883,15429586,20979233,36408820,19.8675,5559991,30848829,1.19,1.93,Authoritarian,26.2,Salman,King,0.6679427355458373,0.9646372842248423
Senegal,Republic of Senegal,West African CFA franc,Dakar,Tropical,Africa,Senegalese,-0.2089306331618626,-0.5873596538349426,-0.2588821305814498,0.0388085229852048,-0.3501421896275155,-0.3321723806858073,-0.4395012413868071,-0.12932866391473954,-0.6841030517108184,-0.6095982259137035,0.1190825787052069,0.9273901940371452,0.1908857906282842,-0.7552600955974101,0.9518476760199128,-1.0304256979587945,-0.7908648863434387,0.0,8.64728,4.17193,0.0,83.6157,1.76991,52.6925,53.9091,38.64,10680.2,11762.8,6023.25,2962.71,4.81548,5.15119,76.78,0.3,0.1,6.0,19000.0,8400.0,1.75791,32.573,5.922,4.387,58.0548,67.0,-10091,8800406,8516043,17316449,44.2424,8816497,8499952,3.03,6.15,Flawed democracy,14.0,Macky Sall,President,1.323111935072408,1.7410019242816748
Serbia,Republic of Serbia,New Serbian dinar,Belgrade,Tropical,Europe,Serbian,1.050800306603123,-0.0053782212690242,-0.5634599296088654,-0.4908121802738673,-0.593992896826386,-0.623485524261276,-0.2144669243171291,-0.12932866391473954,0.9588257953650796,-0.4445734345448308,0.4872289965336904,-0.6804682236785475,0.641502927284199,0.4474658730270481,-0.6755479194753814,0.6272922884062033,-0.176101671590125,72.4298,26.8121,0.579864,0.0,0.074478,0.0930975,28.7815,83.8713,26.01,46324.3,11734.8,4373.7,,0.0,8.73162,672.327,5.61,0.02,11.4,32000.0,195000.0,2.0865,9.1,20.0,1.48,81.1659,73.0,243,3519916,3240171,6760087,36.5546,2915423,3844664,2.51,6.41,Flawed democracy,39.0,Ana Brnabić,Prime Minister,0.3439805993430815,0.7484490756036297
Seychelles,Republic of Seychelles,Seychelles rupee,Victoria,Tropical,Africa,Seychellois,-0.989263965154092,0.5710605308758889,-0.7619654212730953,-0.7572270948523606,-0.7959060169015906,-0.8030792164193875,-0.9011792133871172,0.0594400785941322,0.59847344078878,-0.7298326735652412,-0.1097254764533859,-0.27844274682430503,2.3649619807930145,-0.3193988963368328,-0.25961461039409917,0.6272922884062033,-0.4466543981204166,,,,,,,,0.0,1.75,598.7,94.6962,4.03916,80.3074,13.2625,6.38917,726.908,3.6,,8.1,0.0,,1.46861,16.8,9.3,2.46,81.5931,73.0,146,47382,52679,100060,22.8571,41629,58431,2.66,0.0,Unknown,28.8,Danny Faure,President,1.1221548198011133,0.9169834855708611
Sierra Leone,Republic of Sierra Leone,Sierra Leonean leone,Freetown,Tropical,Africa,Sierra Leonean,-0.43988130545211,-0.5457895515088056,-0.5382390288706443,-0.5094159953356586,-0.6294553390648817,-0.6296562072846011,-0.6930231389667563,-0.12932866391473954,-0.0441960328296896,-0.7188581890603565,2.1085378492043136,1.8294937126021944,-0.1425322358618739,-0.7152289779134366,1.8000906020616754,-2.0302900618959216,-0.4466543981204166,,,,,,,,,71.17,1048.0,3591.09,1129.53,-182.332,1.18717,8.75637,43.2068,0.4,0.5,6.7,9000.0,3000.0,0.609066,31.36,9.113,3.978,18.0,60.0,-1544,4293526,4312192,8605718,12.3288,4833746,3771972,2.58,4.66,Hybrid regime,15.1,Julius Maada Bio,President,1.1006373493170594,1.1420320782857947
Singapore,Republic of Singapore,Singapore dollar,Singapore,Tropical,Asia,Singaporean,-0.7394173291872802,1.3714235677726343,-0.7620158630745717,-0.7590233731027216,-0.7953072400627468,-0.803722578949364,-0.7701651490020677,2.3471098272657307,-0.91269618122575,1.413528662249934,-0.4571045612944335,-1.0637136350123464,-0.4477440040963921,-0.8898921132808236,-1.0747633865669337,0.6272922884062033,-0.8416417128379692,1.19607,0.0,95.0293,0.0,0.698205,1.82089,97.682,90.5789,0.92,43705.0,4347.65,10311.5,2728.24,0.656567,6.05388,3537.0,2.49,0.01,11.2,59000.0,,2.97823,8.6,5.8,1.12,91.0994,83.0,19321,2689047,2947974,5637022,29.1262,0,5637022,1.52,6.38,Flawed democracy,38.3,Lee Hsien Loong,Prime Minister,0.9582474963050521,-1.7773365952740625
Slovak Republic,Slovak Republic,Euro,Bratislava,Tropical,Europe,Slovak,1.246758452508847,-0.0303202826647064,-0.655332019713711,-0.5697523179448596,-0.685387594166174,-0.6904317785644537,-0.3684554528869823,0.4885968023916657,1.2609363958957835,-0.2051401887474117,0.6149461607627537,-0.9805323881231532,0.4480553693763808,-0.2254950556005466,-0.9520714092001183,0.6272922884062033,2.4817214909386225,12.5113,14.5164,6.02283,56.8714,1.44187,8.16311,60.6511,64.0915,17.64,29035.8,4410.3,2031.69,-4627.24,0.0,7.23213,1393.62,5.7,0.02,12.1,16000.0,,1.70582,10.4,13.5,1.64,88.9256,75.0,1746,2777654,2654098,5431752,21.3333,2503549,2928203,3.32,7.1,Flawed democracy,36.0,,,0.5336594640140625,0.2993053718706133
Slovenia,Republic of Slovenia,Euro,Ljubljana,Tropical,Europe,Slovene,1.1396813226288236,-0.1081949411331901,-0.7274530273505507,-0.6379246938812004,-0.7502402316619611,-0.7571321086445366,-0.6659024296039064,-0.12932866391473954,1.2551895034511371,-0.4509500646535076,-0.0199979648090361,-1.024327331211884,0.3036672281975884,-0.6066868926509215,-1.0130060045231128,0.6272922884062033,2.4935967675866606,29.5944,25.7002,2.7266,38.1184,0.114733,3.69171,48.5431,61.1142,22.4,12477.3,1697.14,807.891,-402.601,1.26875,9.15498,2670.84,4.43,0.01,19.8,7000.0,,1.21808,9.0,11.0,1.64,89.004,81.0,4568,1048703,1060028,2108732,40.0,933093,1175639,3.51,7.5,Flawed democracy,39.5,Janez Janša,Prime Minister,0.8795062605336406,0.601074223458459
Solomon Islands,Solomon Islands,Solomon Islands dollar,Honiara,Tropical,Oceania,Solomon Islander,-1.1327333223228522,1.8554034841046847,-0.7554221561265163,-0.5105960104466238,-0.7320132790203218,-0.7352514075314557,-0.8939060795261325,-1.26941106206293,0.1711480020149315,-0.7297990396058529,-0.5542588759911646,0.827113018728006,0.6484491361694105,-1.1318712574899172,0.8887432921088678,-0.5970493813829945,-0.4466543981204166,,,,,,,,0.0,49.08,223.3,416.003,23.2775,108.252,1.79786,4.43218,99.1282,1.4,,14.7,,1000.0,,29.785,5.028,3.983,36.132,70.0,-808,354373,369899,724273,8.0,538975,185298,0.0,0.0,Unknown,15.4,Manasseh Sogavare,Prime Minister,1.215782887825195,0.9969751376403551
