country,country_long,currency,capital_city,region,continent,demonym,latitude,longitude,agricultural_land,forest_area,land_area,rural_land,urban_land,central_government_debt_pct_gdp,expense_pct_gdp,gdp,inflation,self_employed_pct,tax_revenue_pct_gdp,unemployment_pct,vulnerable_employment_pct,electricity_access_pct,alternative_nuclear_energy_pct,electricty_production_coal_pct,electricty_production_hydroelectric_pct,electricty_production_gas_pct,electricty_production_nuclear_pct,electricty_production_oil_pct,electricty_production_renewable_pct,energy_imports_pct,fossil_energy_consumption_pct,renewable_energy_consumption_pct,co2_emissions,methane_emissions,nitrous_oxide_emissions,greenhouse_other_emissions,urban_population_under_5m,health_expenditure_pct_gdp,health_expenditure_capita,hospital_beds,hiv_incidence,suicide_rate,armed_forces,internally_displaced_persons,military_expenditure_pct_gdp,birth_rate,death_rate,fertility_rate,internet_pct,life_expectancy,net_migration,population_female,population_male,population,women_parliament_seats_pct,rural_population,urban_population,press,democracy_score,democracy_type,median_age,political_leader,title
Mongolia,Mongolia,Mongolian tugrik,Ulan Bator,Eastern Asia,Asia,Mongolian,1.1347823692541221,1.39137721688918,2.2309138905091728,0.6436420617763514,2.1595943771486397,2.097036536594738,-0.7996269001843916,0.7612081988740862,0.394348281476147,-0.6586565874997142,1.0924058901930889,0.24874077045408233,0.16090737420013035,0.26037406122215206,0.30691473191864954,0.6272922884062033,-1.0725327948059373,92.7444,0.0,0.0,0.0,4.17196,3.08362,-168.093,93.1994,3.98,21184.7,18159.4,14245.9,-224.261,0.0,4.94451,199.816,8.0,0.01,17.9,18000.0,73000.0,0.655433,21.413,6.131,2.837,84.33,71.0,0,1712979,1685387,3398366,17.1053,1055872,2342494,2.65,6.5,Flawed democracy,22.9,Khaltmaagiin Battulga,President
Montenegro,Montenegro,Euro,Podgorica,Southern Europe,Europe,Montenegrin,0.9878137596148737,-0.033645890850797416,-0.74664969807626,-0.6786287751606153,-0.7657582993179479,-0.7723165335032948,-0.8175612128100493,0.022609222639885514,-0.02461635861206387,-0.7082773010276123,0.729614036988788,-0.7555612152120866,-0.12071855825773121,1.7927583139585286,-0.9091849590339278,0.6168567200464316,1.8959949330470964,50.3497,49.6503,0.0,0.0,0.0,0.0,27.5691,64.6647,39.56,2527.2,783.237,150.663,150.149,2.76105,11.4218,866.168,3.86,0.03,21.0,12000.0,73000.0,1.74295,11.4,14.8,1.75,82.2197,74.0,-101,316129,300030,616159,27.1605,196160,419999,2.39,5.74,Hybrid regime,34.4,Duško Marković,Prime Minister
Morocco,Kingdom of Morocco,Moroccan dirham,Rabat,Northern Africa,Africa,Moroccan,0.5469079306971287,-0.43770728546084936,0.9675247252352825,-0.19161345376697153,0.23881749406771036,0.18994198148960234,0.4686594832357282,-0.23286538279734742,-0.2032471523700358,-0.11511191058618703,-0.3691166765306339,0.2718886583579457,0.6024971039039231,0.7416133925846452,0.2976808381077135,0.6272922884062033,-0.7545510818763598,55.5256,6.11616,18.767,0.0,7.17391,8.19273,90.7218,88.4689,10.92,66719.5,12029.8,8693.63,5825.54,1.16912,5.99316,187.404,1.0,0.02,7.2,246000.0,73000.0,4.18351,17.545,6.17,2.328,88.1303,74.0,-46242,18605603,18852368,37457971,24.0506,13261620,24196351,1.78,4.99,Hybrid regime,25.0,Mohammed VI,King
Mozambique,Republic of Mozambique,New Mozambican metical,Maputo,Eastern Africa,Africa,Mozambican,-1.5631413934092222,0.22741435175734312,1.5952766179286049,2.2532390235606132,1.0280889179203028,1.0772258966139208,-0.030212812554811088,1.5883152545252923,-0.35673824147768185,-0.6538375767654174,0.25438889702021844,1.6973412637230574,1.2318820568905806,-0.6693366363499809,1.6833835019035455,-2.0302900618959216,1.0149673103664567,0.0,86.4109,12.8258,0.0,0.76332,0.0,-54.6016,12.62,80.91,6945.5,16255.5,9599.74,680.829,1.31108,7.6194,34.2839,0.7,0.12,13.6,11000.0,1030000.0,1.51119,36.598,8.793,4.644,17.3728,59.0,-9515,16793302,16176217,32969518,42.4,20379448,12590070,2.39,3.85,Authoritarian,13.0,Filipe Nyusi,President
Myanmar,Republic of the Union of Myanmar,Myanmar kyat,Naypyidaw,South-Eastern Asia,Asia,Burmese,0.12699761744213353,1.2749809303759965,-0.0211227650794242,2.0674972390384747,0.7177693399288593,0.8004166985316274,0.8141467190143228,-1.7005565149059374,-1.235421621335763,-0.46159165065376334,0.0040595921520630565,0.979128635854816,-1.590186074336249,-1.1889123452442434,0.9863051236102459,-0.7979288959354066,-0.4008624601283302,1.7846,58.8541,39.0169,0.0,0.344396,0.0,-32.9708,44.2899,59.75,33874.6,72110.0,22956.5,5188.22,3.35061,4.62412,72.1121,1.04,0.2,2.9,513000.0,1498000.0,3.33494,17.103,9.769,2.151,44.0217,66.0,-35382,27216740,26962566,54179306,15.2941,36965999,17213307,1.74,3.83,Authoritarian,25.3,Win Myint,President
Namibia,Republic of Namibia,Namibian dollar,Windhoek,Southern Africa,Africa,Namibian,-1.7206077608798456,-0.07189038499084349,1.4471103732364536,-0.10279923499112698,1.1137511393223236,1.2038829407137384,-0.8033904036046511,-1.7005565149059374,0.9983355729374958,-0.6781229642262339,-0.4682204566705535,-0.08996369059058118,2.0101584489281867,2.3884713536491278,-0.21214782021765594,-1.6904132802360285,1.8959949330470964,0.455729,97.7865,0.0,0.0,1.75781,0.0,74.4417,66.7191,31.3,3952.8,5335.78,3921.07,708.17,0.112413,8.89626,379.54,2.7,2.91,9.7,16000.0,73000.0,3.00172,27.439,10.709,3.303,52.9735,59.0,-4301,1328449,1238563,2567012,44.2308,1181955,1385057,4.13,6.25,Flawed democracy,17.4,Hage Geingob,President
Nauru,Republic of Nauru,Australian dollar,Yaren,Micronesia,Oceania,Nauruan,-0.819200288285819,1.8554034841046847,-0.7613052846499077,-0.7605660125047139,-0.7969271867042698,-0.8041962282747404,-0.903077975181426,0.022609222639885514,2.4810663181066905,-0.7358088196880167,-1.5364452930008379,-0.2589999547409623,2.3742772132024013,-0.3035347769965593,-0.2452031355773894,0.6272922884062033,-0.31903080864313427,0.9383655,11.6907,14.80275,0.0,1.708655,1.89142,22.498649999999998,66.4043,2.09,41.4,4.29139,0.400188,48.8753,7.44928,11.969,1143.74,5.0,0.12,7.5,30500.0,73000.0,1.59489,27.56,6.633,3.519,83.9352,64.0,-66,6233,6435,12668,10.5263,0,12668,0.0,0.0,Unknown,16.3,Lionel Aingimea,President
Nepal,Nepal,Nepalese rupee,Kathmandu,Southern Asia,Asia,Nepalese,0.3789438053951307,1.0421883573496291,-0.5268272802415515,-0.16986194096585494,-0.4642811234815219,-0.46403437576603607,-0.000916346356820611,-0.9203670051711988,-0.783550929299401,-0.5474326527420502,-0.8113330421532394,1.436824117628322,0.25733055394948123,0.8754694593855167,1.4831320995416541,0.10447859577874792,0.09501424918930718,0.0,99.8002,0.0,0.0,0.0,0.199829,16.6771,15.4827,74.54,14949.2,23643.7,7177.76,1576.21,0.0,5.17352,58.3104,0.3,0.12,9.0,112000.0,2.0,1.33699,20.402,7.776,2.029,51.6314,68.0,296541,15901334,14646246,30547580,33.0909,23994819,6552761,2.34,5.18,Hybrid regime,20.0,KP Sharma Oli,Prime Minister
Netherlands,Kingdom of the Netherlands,Euro,Amsterdam,Western Europe,Europe,Dutch,1.407724072869869,-0.2589558454584601,-0.6580788555141074,-0.7239568115390012,-0.7188309052039177,-0.7405986206981784,1.56891643812188,-0.046265619208775755,1.428214430051302,2.0843608725698335,0.20650319527830235,-0.9626589800223939,1.4776148161060987,-0.748151088482334,-0.9522614673114981,0.6272922884062033,-0.34293536825365034,38.6536,0.0844917,42.2795,3.50868,1.30008,12.3576,35.021,93.461,10.79,130315.0,15200.6,8336.91,-2379.28,43.8096,11.2113,6531.01,3.17,0.01,11.8,41000.0,73000.0,1.42245,10.2,9.8,1.62,92.053,81.0,57439,8904226,8798863,17703090,40.6667,1259398,16443692,9.06,8.89,Full democracy,37.9,Mark Rutte,Prime Minister
New Zealand,New Zealand,New Zealand dollar,Wellington,Australia and New Zealand,Oceania,New Zealander,-2.5184373560643363,1.8554034841046847,-0.18352635304754744,0.21956880584819613,-0.18587310182380312,-0.14742575306953576,-0.3194347803750735,-0.2474620202150514,0.5580375073201707,0.4084310468746195,-0.2804403435924588,-0.7970466423753305,2.1570093627528704,-0.8091894549435313,-0.9043711873517346,0.6272922884062033,1.8959949330470964,4.25291,55.5028,15.5344,0.0,0.00226219,24.5787,19.4782,59.7492,28.61,31359.7,32241.9,14909.9,-646.202,2.22378,10.0286,4201.63,2.57,0.02,11.0,9000.0,73000.0,1.37098,11.48,6.83,1.64,95.9102,82.0,38220,2584111,2539990,5124100,50.4202,672077,4452023,7.27,9.26,Full democracy,32.8,Jacinda Ardern,Prime Minister
Nicaragua,Republic of Nicaragua,Nicaraguan gold cordoba,Managua,Central America,Americas,Nicaraguan,-0.2509216644873622,-1.7679505598972343,-0.4731100458190187,-0.42295586212123576,-0.5176836624807225,-0.5170428201024525,-0.6100096474106281,0.022609222639885514,-0.9937613444026776,-0.6639326771879559,0.28674875297809105,0.0837718552371729,0.4947506817104596,-0.3140290926337475,0.0007940939388026047,-0.08231083093869539,-0.3504436114476629,0.0,6.44245,0.0,0.0,49.9454,43.6121,40.8594,40.6954,52.13,4582.2,9584.81,3567.37,574.553,0.938936,8.62855,161.2,0.93,0.08,4.4,12000.0,77.0,0.603582,20.507,4.859,2.321,57.1469,74.0,-10384,3524605,3423787,6948392,51.6483,2810208,4138184,2.2,3.63,Authoritarian,20.9,Daniel Ortega,President
